# schema: gororoba-kernel-toolchain-prefix-tree-v1
relative_path	entry_type	mode	size	identity_sha256	link_target	resolved_path	resolved_sha256
include/clang/Basic/DiagnosticCrossTUInterface.inc	regular	0644	1401	c71680967eea2d8fb3a29d20c7ff3926a0b83d60b8466ea52c55b447ea7991b1	-	-	-
include/clang/Basic/DiagnosticCrossTUKinds.inc	regular	0644	930	4d40964fa0e4b0e1b20c71a65285f1b052c7fdb084f4e653f501a615aabdf38b	-	-	-
include/clang/Basic/DiagnosticDriver.h	regular	0644	595	f93e6818b35186faa7cb7e80072b78f0e8b62de7c4abcdd9daa420ade687741e	-	-	-
include/clang/Basic/DiagnosticDriverCompatIDs.inc	regular	0644	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	-	-
include/clang/Basic/DiagnosticDriverEnums.inc	regular	0644	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	-	-
include/clang/Basic/DiagnosticDriverInterface.inc	regular	0644	1396	a0adda2e54594741233ebff96540bb9b736455061c8d1c1612721479b3ad2626	-	-	-
include/clang/Basic/DiagnosticDriverKinds.inc	regular	0644	74377	2cd62d97b508e3f451e455451c49058189ae20258f677d2b1e2078fdc92760d6	-	-	-
include/clang/Basic/DiagnosticError.h	regular	0644	2063	a2e14b4c5805bd093892b5b7ce56096f21f6118193e20f6418bc4dd51623d7ba	-	-	-
include/clang/Basic/DiagnosticFrontend.h	regular	0644	603	a951e2260d78f62a235e937feef774d1f88fb937788e76254278bb089136df65	-	-	-
include/clang/Basic/DiagnosticFrontendCompatIDs.inc	regular	0644	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	-	-
include/clang/Basic/DiagnosticFrontendEnums.inc	regular	0644	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	-	-
include/clang/Basic/DiagnosticFrontendInterface.inc	regular	0644	1406	27e7397bb19e96a276e461535ad8e21e85b31e2928754320366a62a4d801fce1	-	-	-
include/clang/Basic/DiagnosticFrontendKinds.inc	regular	0644	35142	60e158d448eb76ae2894dddc22f774ec782b4c20091a7a9f52179c57a540c1df	-	-	-
include/clang/Basic/DiagnosticGroups.inc	regular	0644	279742	aba58a84ce220fbe364c64d163375db78f23c669aaa02d461d72608e4277a8d2	-	-	-
include/clang/Basic/DiagnosticIDs.h	regular	0644	19710	8ef5368d82f584ed4b3deb66ff52911c49e787c223e5cbf113ccf60f0576b02a	-	-	-
include/clang/Basic/DiagnosticIndexName.inc	regular	0644	354270	d00e1e3fa0623aa0682b8ed345b85699a467320f6f21c08941c73eef9cb57147	-	-	-
include/clang/Basic/DiagnosticInstallAPI.h	regular	0644	611	d1b4d7a0df299e0c7368757c97768f0f3e43a5594b60f9f81c426f85657e7442	-	-	-
include/clang/Basic/DiagnosticInstallAPICompatIDs.inc	regular	0644	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	-	-
include/clang/Basic/DiagnosticInstallAPIEnums.inc	regular	0644	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	-	-
include/clang/Basic/DiagnosticInstallAPIInterface.inc	regular	0644	1416	ed4e66f2dbf0ef2fe0af6368c9cbd1de861ed7cf19cfcc6151fb9e186e8dadb9	-	-	-
include/clang/Basic/DiagnosticInstallAPIKinds.inc	regular	0644	9865	7785e78072a36f98aeae2d3f6b688f7b5048e1dd92a5bd94ac174f717c13491a	-	-	-
include/clang/Basic/DiagnosticLex.h	regular	0644	583	61a5b06dea40e0eb9b0bb2e9fbff2a881fbe13e049200b843cfad039703d3b0f	-	-	-
include/clang/Basic/DiagnosticLexCompatIDs.inc	regular	0644	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	-	-
include/clang/Basic/DiagnosticLexEnums.inc	regular	0644	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	-	-
include/clang/Basic/DiagnosticLexInterface.inc	regular	0644	1381	cdebaceea42ab80ddd0a2f7eac240ec5f13852f246af8fabd06a1e4d1af1d02f	-	-	-
include/clang/Basic/DiagnosticLexKinds.inc	regular	0644	80085	b22fa46bd9e8f3cf779d8fc78210e0a34c2506466d5a2d5a0ce570f6f7b57fb7	-	-	-
include/clang/Basic/DiagnosticOptions.def	regular	0644	4842	f59b23a35b5c4eb0320d95e4c8c04fb9ac050c97c44d5e801e38494813340ef0	-	-	-
include/clang/Basic/DiagnosticOptions.h	regular	0644	4911	6da4475ff3d0b9c7403500ff7c216f0448797f3695a3f982e9367b0f8c983a70	-	-	-
include/clang/Basic/DiagnosticParse.h	regular	0644	591	c4a2c622e6ca748e31d2bdefc4768705638baa595f9e9ce46d120d0d31e0658d	-	-	-
include/clang/Basic/DiagnosticParseCompatIDs.inc	regular	0644	178	f37ff820c267d25fedd1171feff1574e15fce2ee4f4652048140e2c33a30f5ce	-	-	-
include/clang/Basic/DiagnosticParseEnums.inc	regular	0644	95	b26c1a51c3ad8c56b75b3170438ef506fa953ce3bedd2b88125b44f441d5b651	-	-	-
include/clang/Basic/DiagnosticParseInterface.inc	regular	0644	1391	a88a5739ed9eb19a2b04e58c4d861ab95c2594b7fc5540ee35929735c0450403	-	-	-
include/clang/Basic/DiagnosticParseKinds.inc	regular	0644	148010	436787b703c5990ea3d22fe949a0a48d711fb22c4cc04871fa1b5c3662c41ba7	-	-	-
include/clang/Basic/DiagnosticRefactoring.h	regular	0644	615	0c1f7e5750d6bbf1966a26939990b21a76daeb3285db895bd8353b5d7802b204	-	-	-
include/clang/Basic/DiagnosticRefactoringCompatIDs.inc	regular	0644	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	-	-
include/clang/Basic/DiagnosticRefactoringEnums.inc	regular	0644	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	-	-
include/clang/Basic/DiagnosticRefactoringInterface.inc	regular	0644	1421	40bbafb5f169aee290106565b4526c1f5edb95cc365578198fa81875d7c922f7	-	-	-
include/clang/Basic/DiagnosticRefactoringKinds.inc	regular	0644	1339	6bcf9cd22a05468c103c4cf921384863d3971744061f463d742bb1bbb8db202e	-	-	-
include/clang/Basic/DiagnosticSema.h	regular	0644	587	ff7e1836dad4ea93bcc076acb6c241d9689e3dcded34c303312654a8251b0ead	-	-	-
include/clang/Basic/DiagnosticSemaCompatIDs.inc	regular	0644	3067	99b2c31dddac693738b47f3bd7f9ff126f9bf11983cd6a563c2d3e4021a1114d	-	-	-
include/clang/Basic/DiagnosticSemaEnums.inc	regular	0644	4028	8d2f161157cc3128f3c40f4447fcb32ea10280fd97a924224b47c2a85cddb142	-	-	-
include/clang/Basic/DiagnosticSemaInterface.inc	regular	0644	1386	75911d69112d2a81218e3f0f20b13375f744e9ddd4ee606df52cfb61e0882a9d	-	-	-
include/clang/Basic/DiagnosticSemaKinds.inc	regular	0644	1111529	87861c619a4bc9a1a4dff39fb8939e674a849b16f6e6e7e4a0dece2fd447eddc	-	-	-
include/clang/Basic/DiagnosticSerialization.h	regular	0644	622	793cef96558420de30b00a7036dd3b2875dd8f54f9b66fd5187dde17582ac383	-	-	-
include/clang/Basic/DiagnosticSerializationCompatIDs.inc	regular	0644	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	-	-
include/clang/Basic/DiagnosticSerializationEnums.inc	regular	0644	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	-	-
include/clang/Basic/DiagnosticSerializationInterface.inc	regular	0644	1431	2d56695817c292d788999425809ef9541be90a92b51aa4936a2a452c4f3848a0	-	-	-
include/clang/Basic/DiagnosticSerializationKinds.inc	regular	0644	12720	10c81f41a9484be94034c133fe361fa1185a24573d4b0e2564cef1f616a63399	-	-	-
include/clang/Basic/DiagnosticTrap.h	regular	0644	549	1ca23a0d9fc91e89d170e05cb10b2d5892b935909f13181d75d5fda70184cccf	-	-	-
include/clang/Basic/DiagnosticTrapCompatIDs.inc	regular	0644	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	-	-
include/clang/Basic/DiagnosticTrapEnums.inc	regular	0644	111	928953226982c5a7aae408ba15efd8e38f8eca0af7a9aa6c584e21440b123de1	-	-	-
include/clang/Basic/DiagnosticTrapInterface.inc	regular	0644	1386	93a8ddf3027ca66106347d704623b45a85641a38edadc58355c606d0f9faa4fd	-	-	-
include/clang/Basic/DiagnosticTrapKinds.inc	regular	0644	299	87440ac32584f9bbdfe3f8f97d3d9b35eaebbd1d941914689a3175e0ebe85e89	-	-	-
include/clang/Basic/DirectoryEntry.h	regular	0644	7493	dc796d7a0e6b5d11ec49a41fdbe3510213db70e230a80fb62c0bb6c9eb7951e4	-	-	-
include/clang/Basic/ExceptionSpecificationType.h	regular	0644	2725	133a5b5c43872db689763bfcae6eb9bf55060fd22c51a8b2e9348a3df40b15c4	-	-	-
include/clang/Basic/ExpressionTraits.h	regular	0644	1209	b8d928a893391344755bea6d8365b484fbf1a9b127d619b869d6ddf09ccbffe6	-	-	-
include/clang/Basic/FPOptions.def	regular	0644	1698	918c7355ab5e47cd32e06b06253656bed26f5d1113f65c7ab06413c0f60ba3dd	-	-	-
include/clang/Basic/Features.def	regular	0644	18521	f8b13627aa91ae230753526d63dab73cc8b89d2559bc53c27c1d37ceb44f4a30	-	-	-
include/clang/Basic/FileEntry.h	regular	0644	12296	8d9bbf86d07006b9c858b32f38a9f31d73ead757e04f35f00fc89259b09744e4	-	-	-
include/clang/Basic/FileManager.h	regular	0644	13547	71de013a77bf887659b644ba948baaae295c00307fcf5b920d950097daf3bd24	-	-	-
include/clang/Basic/FileSystemOptions.h	regular	0644	924	a72fbaa91e69aa559fdc29f753a209ffeb23eecd410c69730d9baf70b2b9828e	-	-	-
include/clang/Basic/FileSystemStatCache.h	regular	0644	3458	33d40e5cd92af756ced3865589bd6bac48cc6860464c6f2c6eac4db464703424	-	-	-
include/clang/Basic/HLSLIntangibleTypes.def	regular	0644	1165	0d500078b989ad2205ea1c74468b9aca5f0809392762e76e6dd190cf7ad73b9d	-	-	-
include/clang/Basic/HLSLRuntime.h	regular	0644	2444	309fdac661e2fe31e11efe755daf20e7d07e4db354e377427ff3842a4dc2268f	-	-	-
include/clang/Basic/HeaderInclude.h	regular	0644	2796	7a1411d064f3c776057898b3cf7152708400304d2bd32dc03b9a0c152488cb26	-	-	-
include/clang/Basic/IdentifierTable.h	regular	0644	45360	1b74442b7f41fba324159e9759a1afbbb691afccbf39f7a3d15c40e5f39afeb3	-	-	-
include/clang/Basic/JsonSupport.h	regular	0644	3613	a2a7200bb083e3f84f415d8e851fbc49776520057b49f22757209958c1b9458d	-	-	-
include/clang/Basic/LLVM.h	regular	0644	2586	0928f3ae2a61e2f7b7be21f45f7c3b42bdb8087a025e3c2ae183bc09c101bc5b	-	-	-
include/clang/Basic/Lambda.h	regular	0644	1399	0c352b167767cc7dc78ed8dc880067657c59a05cd1f018215240bfa7e5b3b368	-	-	-
include/clang/Basic/LangOptions.def	regular	0644	36854	4128a5c79fc57d1cc16386c186f4b2fd6ad8b68cabf8e6f1c9aceae438cf5ea3	-	-	-
include/clang/Basic/LangOptions.h	regular	0644	39923	a95206dc03ec1f45775cdfbcba91262e509ba7c31edefb57c91401865d9fa645	-	-	-
include/clang/Basic/LangStandard.h	regular	0644	4984	1d9db264d4abfe97077fc3b8d3449b4e2b7f6444735fdcba0ac2b8655c1429fe	-	-	-
include/clang/Basic/LangStandards.def	regular	0644	10740	04df33ae690d258634b6cb169740b326b5084ee81f3e9698fd3db86c8bb670b1	-	-	-
include/clang/Basic/Linkage.h	regular	0644	4346	89e2876199874ae224bba2770f7ac6d7088d872312568a8ae01d0c756ec6e97c	-	-	-
include/clang/Basic/MSP430Target.def	regular	0644	23861	125641c4f741f6d3884545210cc07cfad9176910665cf8b8a4f6a0ea6cc28b82	-	-	-
include/clang/Basic/MacroBuilder.h	regular	0644	1661	f62426686f67a76c88da08c6ee2a797d9fa8c09eafd3ab3156a220a5ee5d8bec	-	-	-
include/clang/Basic/MakeSupport.h	regular	0644	786	77f6fba60f911666cc522336cd9be4dbaf12203072ed4a106369f4ff1f59e3f6	-	-	-
include/clang/Basic/Module.h	regular	0644	31508	d352577644581c74b699892d39a29fa2497a55afff825742387575512172da75	-	-	-
include/clang/Basic/NoSanitizeList.h	regular	0644	1986	64a236bdbc29de7ee6265d19a5bb7ad5e1398c39eecd79d704f05db435d95567	-	-	-
include/clang/Basic/ObjCRuntime.h	regular	0644	15834	8cb41fc0af5b5b6ca5b1319543a3ca9ccb82e6461df69ee9bec04d16036a12fe	-	-	-
include/clang/Basic/OffloadArch.h	regular	0644	2937	642a4678b80eb88bd6f9e18b89870a31518a9232dc1cef18af419248a3faf985	-	-	-
include/clang/Basic/OpenACCClauses.def	regular	0644	2161	db7c75da086b619e38ef69894f162d5a2b5232656e81a106550d22e357ecd825	-	-	-
include/clang/Basic/OpenACCKinds.h	regular	0644	20622	5fa800a2e4c525b361c06fff4185c7d043d9c8ca1603bb3bf94e8aa5cca6eba7	-	-	-
include/clang/Basic/OpenCLExtensionTypes.def	regular	0644	1644	88025bcd74c16e124aa46e4cb4bdde3303b3b9265c52bb225e18a11e8b38a920	-	-	-
include/clang/Basic/OpenCLExtensions.def	regular	0644	9185	c207c43a08d34683f42e0ae971d2ed681926243f2c7b34974304b4cb09fda008	-	-	-
include/clang/Basic/OpenCLImageTypes.def	regular	0644	4173	08cdcff524f26ed04ae53b9e9e3a94727d6ce2f236dd9bbf6bb0691ddf090bf2	-	-	-
include/clang/Basic/OpenCLOptions.h	regular	0644	7597	5817130968566885e493658e0e6b7c08e28bfb9cd30003af9de23bff09184581	-	-	-
include/clang/Basic/OpenMPKinds.def	regular	0644	9171	0267758ed8c391d72a197c0f19583d8ae2692a59e6d46ae5b469a288e3a5ac43	-	-	-
include/clang/Basic/OpenMPKinds.h	regular	0644	18019	c554c9628d54d0c98435f5e35f196b44dcb2005b30590706d8917ff91312f244	-	-	-
include/clang/Basic/OperatorKinds.def	regular	0644	6693	ac345e9c97c0af450887b2f9ea574e0bfa0fe35aa4e72b11ff1d7be54662c3db	-	-	-
include/clang/Basic/OperatorKinds.h	regular	0644	1778	9b8cb3095c115096475a721e03624d9de01cf007519bbaa33ade254f949465b7	-	-	-
include/clang/Basic/OperatorPrecedence.h	regular	0644	1871	29e9f4426065338b12eec9c8a2ce22d668940c29f213eb9166eec298a7efac2a	-	-	-
include/clang/Basic/PPCTypes.def	regular	0644	1469	99acbd00a6901b43757fd3bc19bb5370e7c1cd0730d8cd95cf40bbab09869a44	-	-	-
include/clang/Basic/ParsedAttrInfo.h	regular	0644	7659	ac480e69462d568ee300eed3c75ac8e5356ffe62951d71c514b36011b756d45b	-	-	-
include/clang/Basic/PartialDiagnostic.h	regular	0644	6471	2b2a71916966f553fa43e8c8cb1e6fe56aeded408d30d56937ced4bfc3e35065	-	-	-
include/clang/Basic/PlistSupport.h	regular	0644	3975	3f133f10e72d4768ad3bd51827674f7c1ef6052f735172ff8937cafe0cfc730f	-	-	-
include/clang/Basic/PointerAuthOptions.h	regular	0644	8755	fd2f90fdbbf23fd7268a5b4d2ef5f7e0101e7d0b4149c162bbab7fa332e4bf20	-	-	-
include/clang/Basic/PragmaKinds.h	regular	0644	1508	7e5ce02996368e64eac47dd0d02f79e211251af7ae83de91a29ed11aa39a57c7	-	-	-
include/clang/Basic/PrettyStackTrace.h	regular	0644	1293	28c636561a229fe7e7d18ade312a29d7127084ad4881523b9ee5c2fae0425621	-	-	-
include/clang/Basic/ProfileList.h	regular	0644	2076	364f02ecba380888f99944681a9e4fc4b342dc2754cc3e881c62926bc20b8d2c	-	-	-
include/clang/Basic/RISCVVTypes.def	regular	0644	33091	092b313ea3af980a2a9216b73e3fb86d3953132aceb4fa7380276060c4248ddb	-	-	-
include/clang/Basic/RegularKeywordAttrInfo.inc	regular	0644	1059	9ef2b9ee114304445700f222ecbbbf6eed7ef6fea7b125ac8e9f2b932dc887f4	-	-	-
include/clang/Basic/SanitizerSpecialCaseList.h	regular	0644	2275	18d0ba97eaa4d94828fa1d9536d0c3bebde0b143fc23686262f73b46f9ce9399	-	-	-
include/clang/Basic/Sanitizers.def	regular	0644	7052	1ef2078647bac29b215468d9e05cd625098b4521b04f26410ea39ae784a41e8e	-	-	-
include/clang/Basic/Sanitizers.h	regular	0644	8781	55ac190601608893345e091cfe7353a33ec8fbf8524fa31927124e91adc713cd	-	-	-
include/clang/Basic/Sarif.h	regular	0644	19094	6a7f9a761a638c57add22818c774ac31b9de3baf3cfed0080f8a3ff2a126c92e	-	-	-
include/clang/Basic/SimpleTypoCorrection.h	regular	0644	1506	cde9f0464d0b9fc3d6d8d759d31d32f04aec75440dba0e37e8161a704ea3b859	-	-	-
include/clang/Basic/SourceLocation.h	regular	0644	17915	43e5e6722f695f0644589e89cdd720eecc9d291a38cc7a4c46c6c67ea1e9f1aa	-	-	-
include/clang/Basic/SourceManager.h	regular	0644	79032	e72e38d07f9d3fd6621ebb5da3c48ad3c99231b4572e25e57c59ab12996d62a0	-	-	-
include/clang/Basic/SourceManagerInternals.h	regular	0644	4368	921c3e10e18c712d1f281cc6923339e0d24d1da416f8cccd8f7165c19ae645b5	-	-	-
include/clang/Basic/SourceMgrAdapter.h	regular	0644	2912	e219d1243d48831aea8139d5294d5ef8e0af806925e80d031e21bd6da4749212	-	-	-
include/clang/Basic/Specifiers.h	regular	0644	15939	c417bfaee112d27fd988d8f94166e412054f79d07ac78bd131289339f0f8c43e	-	-	-
include/clang/Basic/Stack.h	regular	0644	2148	d5da5741183b015c6b4c837c35d8d947e37607b7b9395aee54c5387b1504ff19	-	-	-
include/clang/Basic/StackExhaustionHandler.h	regular	0644	1691	6a81c69aa96eb4bc7f3cac7907ba63ccad718b42eb9055dc06178f9034748e58	-	-	-
include/clang/Basic/SyncScope.h	regular	0644	9538	c224b2da37440d28fcbd519cc2f706bc9f98cc4e2dbd08442b19414865c4d8c1	-	-	-
include/clang/Basic/Target	directory	0755	-	-	-	-	-
include/clang/Basic/Target/MSP430	directory	0755	-	-	-	-	-
include/clang/Basic/TargetBuiltins.h	regular	0644	13869	a7fcab4c03445adb67301768bd602a7e5ab8fb455981cc0ad263d8b11c4c158b	-	-	-
include/clang/Basic/TargetCXXABI.def	regular	0644	4932	4928891d82122d14740435833e9e8152c9222ce3bbdac9661bd8705f63b133a6	-	-	-
include/clang/Basic/TargetCXXABI.h	regular	0644	10505	791b49e75cd4dbf5ab803000db8a488cbb3b9ed14db740d9f04fb0ae44afda02	-	-	-
include/clang/Basic/TargetID.h	regular	0644	3046	68adf634957a4608fa443c33c3fc3ae3844fbe08e05be99c754a76b33e39d97d	-	-	-
include/clang/Basic/TargetInfo.h	regular	0644	75136	562290266dec99e3b31fe9e65c7877015f93b8b668b8168e8e180d697bd5823a	-	-	-
include/clang/Basic/TargetOSMacros.def	regular	0644	2429	f200f3e995aa4209f622efb88a3684f7008577d3873ab6b12391a02e5d0bb299	-	-	-
include/clang/Basic/TargetOptions.h	regular	0644	4306	02cf900d6fbee629c373f024ea07cda9aeb5050b1cebeb5acb1cea1936a7cae5	-	-	-
include/clang/Basic/TemplateKinds.h	regular	0644	2272	150fa49d57c717c46b29ea21e9bc56d3331aabf542bb35cb8ae0f0001499805c	-	-	-
include/clang/Basic/Thunk.h	regular	0644	5718	8b64248dc90fbe39c7430a0664dea653588832c1c74bde3a761b07826382105b	-	-	-
include/clang/Basic/TokenKinds.def	regular	0644	42295	7034ef86c91f437750b9d3f17bb587a3f89656031dc68d254ff5b28d4528dd70	-	-	-
include/clang/Basic/TokenKinds.h	regular	0644	4923	10332102442de5bfdc23a376b2f82537b94a3e58685d716c455f6e49cd9d75e6	-	-	-
include/clang/Basic/TransformTypeTraits.def	regular	0644	1430	503ca0b90bcf4d3daddc58200a98b776ad703e24daa5287f52176e6b7e501f41	-	-	-
include/clang/Basic/TypeTraits.h	regular	0644	2833	e4fb7a4eaa67479bd340559e9101c2d24a0a9e70a8b7281d95c4f36dcf6c8588	-	-	-
include/clang/Basic/UnsignedOrNone.h	regular	0644	1552	3db71a4710e2e71f3333402f85dd1ef717204fce5287752cf2b19f676411aa64	-	-	-
include/clang/Basic/Version.h	regular	0644	2355	be8b63513ebaba1afdcc8cff5a3349d008b08d08fbee2f3d9905feaa5dbcf26d	-	-	-
include/clang/Basic/Version.inc	regular	0644	243	14b842d2344ed30fbdcbee818e8dd1cbb6f562bbce5b9021ac902ecff4912222	-	-	-
include/clang/Basic/Visibility.h	regular	0644	4742	a43d5dbd7ec75f5ce979d2b583d97cad04bf7eb7453ec7b810909724331b4cb9	-	-	-
include/clang/Basic/WebAssemblyReferenceTypes.def	regular	0644	1355	189ee3e0fa330630d74f78223710d3efdbe01c8f22273e16ddf7b7ff9e854bcc	-	-	-
include/clang/Basic/XRayInstr.h	regular	0644	2183	7326b626ad098b3d6ff5e0c3b3a13a54a49a80d56d3d626eeb69331a05c92744	-	-	-
include/clang/Basic/XRayLists.h	regular	0644	1767	e91a28ab523459bf48777c1a96f968d01cd371cec45f5083fefae6ccb0c11e86	-	-	-
include/clang/Basic/arm_cde_builtin_aliases.inc	regular	0644	11787	0df685afa43fac7274d581d39b07b3b35c0e59ab9c32bf8029c813fdb8f6c952	-	-	-
include/clang/Basic/arm_cde_builtin_cg.inc	regular	0644	54316	62669302ea8e8c2cf5de21ea2143276e65dc14ee931f0543308d309a5208c6d5	-	-	-
include/clang/Basic/arm_cde_builtin_sema.inc	regular	0644	9277	f2a76845a2951e96bd66092e47bf4b44c2189208b6fb4de29de1ef31179295bb	-	-	-
include/clang/Basic/arm_cde_builtins.inc	regular	0644	22838	fd66c8de00223264a7aab65674dabec76fe3d9ebaea7b38d0de10f7542cb0f64	-	-	-
include/clang/Basic/arm_fp16.inc	regular	0644	27445	ad8b7511b90bf6105d313675ed8e66abfd8a90312899745e2b2eb38f387ad5b3	-	-	-
include/clang/Basic/arm_immcheck_types.inc	regular	0644	679	1f7417f1cce097d821df5640b2f302e59b1bf25337bae293f61eefdda00899d1	-	-	-
include/clang/Basic/arm_mve_builtin_aliases.inc	regular	0644	202680	0f793c97594fb116041400d60f3e0b8c983567d05ef6bf022dc272e703743650	-	-	-
include/clang/Basic/arm_mve_builtin_cg.inc	regular	0644	875791	acec7b1326e2c1a7636df859ad6cb58f6dd4001e0c10a1591dca46bf04397247	-	-	-
include/clang/Basic/arm_mve_builtin_sema.inc	regular	0644	20915	8001640d3ddfcf1e335d822d23118ce931392249a016b699e3d0038f575efac1	-	-	-
include/clang/Basic/arm_mve_builtins.inc	regular	0644	434858	fc459eb4f3fb4424822a1e93553c5e449a87bf9b1f4cc1dec187c96f460b5c73	-	-	-
include/clang/Basic/arm_neon.inc	regular	0644	416802	d25925115be338e06ea7745e99af561efd4ea703f7e5c45c8b604c08c3266b8b	-	-	-
include/clang/Basic/arm_sme_builtin_cg.inc	regular	0644	84044	d14e0c0cc3b3a63255a494c84136923c638b89f1f380276e2bef9f0e86ea706f	-	-	-
include/clang/Basic/arm_sme_builtins.inc	regular	0644	282632	aef2f33ccd8f4821a2131feb210ccd5a90ada7607c5051d81b31772141e818d8	-	-	-
include/clang/Basic/arm_sme_builtins_za_state.inc	regular	0644	54730	8ac5984304580a4c98243ea11b7ea20c35dac80add3842a6cec00eebd3d5eff0	-	-	-
include/clang/Basic/arm_sme_sema_rangechecks.inc	regular	0644	83876	1ba1f7b33f083a7f36b718647e2546f6f900c4048df03df34b409ed8a90ce382	-	-	-
include/clang/Basic/arm_sme_streaming_attrs.inc	regular	0644	54888	ec6189fe00b6df8b1d2f2ae2a7264b131e98efede45899c3823df2190ad59ac8	-	-	-
include/clang/Basic/arm_sve_builtin_cg.inc	regular	0644	455596	2260968a52eda54168d3693e38a4452cd1e7baeb5d085030e0c062187e89fbf8	-	-	-
include/clang/Basic/arm_sve_builtins.inc	regular	0644	1966276	c9bf827a9ffe57345386d8df1708c42e1e3f5cfeefb58db7c11b3207965f5c09	-	-	-
include/clang/Basic/arm_sve_sema_rangechecks.inc	regular	0644	59398	aa3cd10a592bb19b5ce62ce16d3322da65559aaa875a44a2e76a76621b598857	-	-	-
include/clang/Basic/arm_sve_streaming_attrs.inc	regular	0644	320766	1eef76b8d7a7bf1392e0ed5725a6032ed99349bb69021cd82afabf2352e2359a	-	-	-
include/clang/Basic/arm_sve_typeflags.inc	regular	0644	2595	0c470831fbc8dc176f82a4b8217c56eaf5bba0317fc5e4ecd6db16e0212bff4b	-	-	-
include/clang/Basic/riscv_andes_vector_builtin_cg.inc	regular	0644	33514	5465569fc5634e11f44c88bbc3912ad209a538b3ee62c6d30e8be48dee3d3486	-	-	-
include/clang/Basic/riscv_andes_vector_builtin_sema.inc	regular	0644	9246	1185cee61cb6a3425554805fb8c4436827612c3a3781592019609c9b7a7c6fa9	-	-	-
include/clang/Basic/riscv_andes_vector_builtins.inc	regular	0644	12894	d974d3939b9519900d9b941a155271f741fa8fb217cc061e6df4fc9d9d114ee5	-	-	-
include/clang/Basic/riscv_sifive_vector_builtin_cg.inc	regular	0644	45469	5d6ef542242586aac87db9f85d5cfff394c6b6d1a9ed77ff9c04fd4fb46564b3	-	-	-
include/clang/Basic/riscv_sifive_vector_builtin_sema.inc	regular	0644	89112	b08b6e1ff3fdf93c94a51c11a1b88939770c5a5c69a496bfe594168b7be61988	-	-	-
include/clang/Basic/riscv_sifive_vector_builtins.inc	regular	0644	24805	d1f8c32a1099b0cfe7a447563ae986c7f6ad8cf0fc5c5b015fe615529bebd499	-	-	-
include/clang/Basic/riscv_vector_builtin_cg.inc	regular	0644	845597	3b39427c16ef29a1b56335e1da7851158c46ea45161dafe4307e1ec0c4f5bb60	-	-	-
include/clang/Basic/riscv_vector_builtin_sema.inc	regular	0644	1574816	f5554becead4ba3644443906a0eccc46ccce364070c09f254a72c0d5ce15973e	-	-	-
include/clang/Basic/riscv_vector_builtins.inc	regular	0644	663938	c6a4e2ad634daacc355f420ca41c1b229ed1def0594565f9b0ae6e834d795820	-	-	-
include/clang/CIR	directory	0755	-	-	-	-	-
include/clang/CIR/ABIArgInfo.h	regular	0644	2683	51152bf3ab87cd11426eab4410e4502e5135b2d72b856e8940f2e8c47300b05d	-	-	-
include/clang/CIR/CIRGenerator.h	regular	0644	3424	d41c188fbac29ff09f9b91659a6835668c61ecf9a0e2f8becb4f975771eb2ba7	-	-	-
include/clang/CIR/CIRToCIRPasses.h	regular	0644	1201	40e4d090b85ba86a1ac9c0351a747c496e41d7e33177418bf6a0fb5ad7e09dab	-	-	-
include/clang/CIR/Dialect	directory	0755	-	-	-	-	-
include/clang/CIR/Dialect/Builder	directory	0755	-	-	-	-	-
include/clang/CIR/Dialect/Builder/CIRBaseBuilder.h	regular	0644	28347	31e9b472b1821e9ca44b39be94c9c33ac302c4f8ded3914790b0621f3544b3ee	-	-	-
include/clang/CIR/Dialect/IR	directory	0755	-	-	-	-	-
include/clang/CIR/Dialect/IR/CIRAttrs.h	regular	0644	1416	266d75b374d44d0e4ee7b750026b32316ad6f2965eafe0dfe11909a5aeb7bbd4	-	-	-
include/clang/CIR/Dialect/IR/CIRDataLayout.h	regular	0644	3960	b2c5fb2d61b85c035c816e531360f720fc7642b521511b82f2efcde62b09c7a0	-	-	-
include/clang/CIR/Dialect/IR/CIRDialect.h	regular	0644	2040	68aae137ef535b9d8b47e1dc20d42d21e47529bead24747d801f14b087829623	-	-	-
